Kullanım Durumu,Tipi,Binanın Yaşı,Binanın Kat Sayısı,Net Metrekare,Brüt Metrekare,Bulunduğu Kat,Site İçerisinde,Isıtma Tipi,Banyo Sayısı,Oda Sayısı,Balkon Durumu,Aidat,Fiyat,Ilce,Mahalle
Boş,Daire,5-10,10,180,195,1.Kat,Evet,Merkezi (Pay Ölçer),2,4+1,Var,1000.0,53000.0,Etimesgut,Bağlıca Mahallesi
Boş,Daire,16-20,3,85,90,Kot 1 (-1).Kat,Hayır,Kombi Doğalgaz,1,2+1,Var,200.0,16000.0,Keçiören,Hisar Mahallesi
Boş,Daire,5-10,3,120,125,Yüksek Giriş,Hayır,Kombi Doğalgaz,1,3+1,Var,200.0,22500.0,Keçiören,Yükseltepe Mahallesi
Boş,Daire,21 Ve Üzeri,11,165,180,8.Kat,Hayır,Merkezi (Pay Ölçer),2,3.5+1,Var,2300.0,42000.0,Etimesgut,Yavuz Selim Mahallesi
Kiracı Oturuyor,Daire,16-20,3,100,115,2.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,150.0,20000.0,Mamak,Mehtap Mahallesi
Boş,Daire,11-15,3,130,145,3.Kat,Hayır,Kombi Doğalgaz,2,4+1,Var,250.0,26000.0,Pursaklar,Fatih Mahallesi
Boş,Daire,11-15,3,115,125,3.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,200.0,23000.0,Etimesgut,Piyade Mahallesi
Boş,Daire,21 Ve Üzeri,8,150,170,Yüksek Giriş,Hayır,Merkezi (Pay Ölçer),2,3+1,Var,1500.0,28900.0,Altındağ,Baraj Mahallesi
Boş,Daire,21 Ve Üzeri,9,160,170,5.Kat,Hayır,Merkezi (Pay Ölçer),2,3.5+1,Var,1500.0,27500.0,Altındağ,Baraj Mahallesi
Boş,Daire,5-10,3,135,145,1.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,200.0,25000.0,Keçiören,Ayvalı Mahallesi
Boş,Daire,3,3,120,130,2.Kat,Hayır,Kombi Doğalgaz,2,3+1,Var,200.0,26000.0,Sincan,29 Ekim Mahallesi
Boş,Daire,11-15,3,110,125,Düz Giriş (Zemin),Hayır,Kombi Doğalgaz,1,3+1,Var,300.0,35000.0,Keçiören,Emrah Mahallesi
Boş,Daire,21 Ve Üzeri,11,180,230,3.Kat,Hayır,Merkezi (Pay Ölçer),2,4+1,Var,1750.0,56500.0,Yenimahalle,Cumhuriyet Mahallesi
Boş,Daire,21 Ve Üzeri,4,100,120,3.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,200.0,23750.0,Keçiören,Kalaba Mahallesi
Boş,Daire,21 Ve Üzeri,6,110,120,2.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,500.0,22000.0,Yenimahalle,Demetlale Mahallesi
Boş,Daire,21 Ve Üzeri,6,115,125,6.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,500.0,20000.0,Yenimahalle,Demetlale Mahallesi
Boş,Daire,3,4,120,130,2.Kat,Hayır,Kombi Doğalgaz,2,3+1,Var,200.0,35000.0,Keçiören,Esertepe Mahallesi
Boş,Daire,21 Ve Üzeri,3,105,110,1.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,100.0,21500.0,Etimesgut,Kazım Karabekir Mahallesi
Boş,Daire,21 Ve Üzeri,3,80,85,1.Kat,Hayır,Kombi Doğalgaz,1,2+1,Var,100.0,22000.0,Altındağ,Aydınlıkevler Mahallesi
Boş,Daire,21 Ve Üzeri,4,75,85,Yüksek Giriş,Hayır,Kombi Doğalgaz,1,2+1,Var,100.0,13500.0,Mamak,General Zeki Doğan Mahallesi
Boş,Daire,1,5,46,53,1.Kat,Hayır,Kombi Doğalgaz,1,1+1,Var,850.0,35000.0,Çankaya,Kazım Özalp Mahallesi
